company_id,name,company_link,rating,review_count,salary_count,job_count,headquarters_location,logo,company_size,company_size_category,company_description,industry
1145391,Goo.Com,"https://www.glassdoor.com/Overview/Working-at-Goo-Com-EI_IE1145391.11,18.htm",4.3,2,2,0,"Trezzano sul Naviglio, Italy",https://media.glassdoor.com/sql/1145391/goo-com-squarelogo-1458658483643.png,1 to 50 Employees,SMALL,"Goo.com Srl is a dynamic Italian Company. We are IT Solution Provider, System Integrator and, above all, IDEAS DEVELOPER! We provide: - IT **TOP** Consultancy. - Software Engineering, Software Architecture and Hardware Engineering services. - Web and Mobile Responsive development. - Consolidate and Certified SysAdmin experience. - Software ad hoc. Our Customers and Partners: Have a look here: http://goodotcom.com/pages/chi_siamo Our Story: A long time ago in a galaxy far, far away, our first company SOPRIT was funded. Back in the 1999 we took the challenge to support our Customers in the process of integration and optimisation of their resources. We developed customised solutions for their security systems and automation. After years of experience we founded Goo.com to offer technologically advanced solutions with the highest standards of quality and reliability.",Enterprise Software & Network Solutions
8070755,Stichting GOO,"https://www.glassdoor.com/Overview/Working-at-Stichting-GOO-EI_IE8070755.11,24.htm",0,0,0,5,"Gemert, Netherlands",,Unknown,UNKNOWN,,
939648,Goo-Goo Express Wash,"https://www.glassdoor.com/Overview/Working-at-Goo-Goo-Express-Wash-EI_IE939648.11,31.htm",2.8,27,47,0,"Chattanooga, GA",https://media.glassdoor.com/sql/939648/goo-goo-express-wash-squarelogo-1562581717382.png,1 to 50 Employees,SMALL,,Vehicle Repair & Maintenance
3651112,Black Goo,"https://www.glassdoor.com/Overview/Working-at-Black-Goo-EI_IE3651112.11,20.htm",3.6,7,18,0,"Tring, United Kingdom",https://media.glassdoor.com/sql/3651112/black-goo-squarelogo-1663594570619.png,1 to 50 Employees,SMALL,,
1895285,Let's Goo Social,"https://www.glassdoor.com/Overview/Working-at-Let-s-Goo-Social-EI_IE1895285.11,27.htm",2.9,6,7,6,"Singapore, Singapore",https://media.glassdoor.com/sql/1895285/let-s-goo-social-squarelogo-1515482818126.png,1 to 50 Employees,SMALL,,Advertising & Public Relations
5953502,Goo Goo Gaa Gaa,"https://www.glassdoor.com/Overview/Working-at-Goo-Goo-Gaa-Gaa-EI_IE5953502.11,26.htm",3,1,5,0,"Brookfield, WI",,1 to 50 Employees,SMALL,,
107591,WATG,"https://www.glassdoor.com/Overview/Working-at-WATG-EI_IE107591.11,15.htm",3.7,172,325,30,"Irvine, CA",https://media.glassdoor.com/sql/107591/watg-squarelogo-1543326423910.png,201 to 500 Employees,MEDIUM,"From our dawning days in 1945 Honolulu, we have pioneered hospitality, tourism and destination design. Independent to this day, we are a global multi-disciplinary design firm specializing in Strategy, Master Planning, Architecture, Landscape and Wimberly Interiors. We are a team of 500 creative, world-traveling professionals designing landmark urban and leisure destinations with eight offices across three continents.",Architectural & Engineering Services
923128,Goo Technologies,"https://www.glassdoor.com/Overview/Working-at-Goo-Technologies-EI_IE923128.11,27.htm",4.5,2,4,0,"Stockholm, Sweden",,1 to 50 Employees,SMALL,,Information Technology Support Services
812843,Pwi-Di-Goo-Zing Ne-Yaa-Zhing Advisory Services,"https://www.glassdoor.com/Overview/Working-at-Pwi-Di-Goo-Zing-Ne-Yaa-Zhing-Advisory-Services-EI_IE812843.11,57.htm",3.9,3,2,0,"Fort Frances, Canada",,201 to 500 Employees,MEDIUM,,State & Regional Agencies
2888762,Dembach Goo Informatik,"https://www.glassdoor.com/Overview/Working-at-Dembach-Goo-Informatik-EI_IE2888762.11,33.htm",4.4,2,3,13,"Cologne, Germany",https://media.glassdoor.com/sql/2888762/dembach-goo-informatik-squarelogo-1599212755043.png,1 to 50 Employees,SMALL,,Information Technology Support Services
